gbifID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship
2365686427,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686418,Animalia,Annelida,Clitellata,,,Liodrilus,Liodrilus mendesi,,SPECIES,"Liodrilus mendesi Righi, 1994",Liodrilus mendesi,
2365686416,Animalia,Annelida,Clitellata,,,Liodrilus,Liodrilus mendesi,,SPECIES,"Liodrilus mendesi Righi, 1994",Liodrilus mendesi,
2365686414,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686412,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686409,Animalia,Annelida,Polychaeta,,Capitellidae,Heteromastus,,,GENUS,"Heteromastus Eisig, 1887",Heteromastus,
2365686408,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
2365686407,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Laeonereis,Laeonereis culveri,,SPECIES,"Laeonereis culveri (Webster, 1879)",Laeonereis culveri,
2365686406,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686405,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686403,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
2365686397,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686396,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686394,Animalia,Annelida,Clitellata,,,Liodrilus,Liodrilus mendesi,,SPECIES,"Liodrilus mendesi Righi, 1994",Liodrilus mendesi,
2365686393,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686392,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Neanthes,,,GENUS,"Neanthes Kinberg, 1865",Neanthes,
2365686391,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Rhinodrilus,Rhinodrilus antonioi,,SPECIES,"Rhinodrilus antonioi Hernández-García & Sousa, 2020",Rhinodrilus antonionii,
2365686390,Animalia,Annelida,Clitellata,,,Liodrilus,Liodrilus mendesi,,SPECIES,"Liodrilus mendesi Righi, 1994",Liodrilus mendesi,
2365686389,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
2365686388,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686387,Animalia,Annelida,Clitellata,Crassiclitellata,Eudrilidae,Hyperiodrilus,Hyperiodrilus africanus,,SPECIES,"Hyperiodrilus africanus Beddard, 1891",Hyperiodrilus africanus,
2365686386,Animalia,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra,Sigambra grubii,,SPECIES,"Sigambra grubii Müller, 1858",Sigambra grubii,
2365686385,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686384,Animalia,Annelida,Polychaeta,,Capitellidae,Capitella,,,GENUS,"Capitella Blainville, 1828",Capitella,
2365686382,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Laeonereis,,,GENUS,"Laeonereis Hartman, 1945",Laeonereis,
2365686381,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686380,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
2365686379,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
2365686377,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Pontoscolex,,,GENUS,Pontoscolex,Pontoscolex Corethrurus,
